method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
oracle,0.50,0.5,0,0.0,,0,,,0.18488208847782178,0.6672107920075929,False,True,-0.26306060412213855,0.3775016880788534,233.0606378179005,0.3585537034706712,0.0,40,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.18488208847782178,0.6672107920075929,False,True,-0.26306060412213855,0.3775016880788534,233.0606378179005,0.3585537034706712,0.0,40,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.0622987075040517,0.8028989489610733,False,True,0.1522534781826963,0.3691647723535029,245.33950972755807,0.3794969350763694,0.0,41,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.0622987075040517,0.8028989489610733,False,True,0.1522534781826963,0.3691647723535029,245.33950972755807,0.3794969350763694,0.0,41,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.0622987075040517,0.8028989489610733,False,True,0.1522534781826963,0.3691647723535029,245.33950972755807,0.3794969350763694,0.0,41,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.9982344118604181,0.3177381059853871,False,True,-0.6359616267117651,0.40452595085382426,286.4016155423351,0.34606428408817075,0.0,42,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.9982344118604181,0.3177381059853871,False,True,-0.6359616267117651,0.40452595085382426,286.4016155423351,0.34606428408817075,0.0,42,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.9982344118604181,0.3177381059853871,False,True,-0.6359616267117651,0.40452595085382426,286.4016155423351,0.34606428408817075,0.0,42,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,2.058487846092171,0.15136030925233657,False,True,0.928316447888514,0.4163726216842492,251.2576754263223,0.33121296427090424,0.0,43,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,2.058487846092171,0.15136030925233657,False,True,0.928316447888514,0.4163726216842492,251.2576754263223,0.33121296427090424,0.0,43,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,2.058487846092171,0.15136030925233657,False,True,0.928316447888514,0.4163726216842492,251.2576754263223,0.33121296427090424,0.0,43,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.3478507546075875,0.5553322944463505,False,True,0.3564474882142738,0.36600619361176967,232.00063401513162,0.3616631798794208,0.0,44,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.3478507546075875,0.5553322944463505,False,True,0.3564474882142738,0.36600619361176967,232.00063401513162,0.3616631798794208,0.0,44,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.3478507546075875,0.5553322944463505,False,True,0.3564474882142738,0.36600619361176967,232.00063401513162,0.3616631798794208,0.0,44,240,4,60,4,0.75
